retailer,title,price_eur,unit_measure,product_url,image_url,canonical_unit,canonical_unit_price
ALDI,Sugar Free Blackcurrant & Liquorice Sherbet Sweets,0.89,0.07 KG,https://www.aldi.ie/product/dominion-sugar-free-blackcurrant-liquorice-sherbet-sweets-000000000405391003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/bdcca00a-6de3-47f8-902e-9daeebe08a22/Sugar%20Free%20Blackcurrant%20%20Liquorice%20Sherbet%20Sweets,kg,12.714285714285714
ALDI,Lemon Juice,0.65,0.2 L,https://www.aldi.ie/product/the-pantry-lemon-juice-200ml-000000000000381852,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/92e4c4e0-8d90-4579-80c1-d7d68bd146d7/Lemon%20Juice,L,3.25
ALDI,Coarse Wholemeal Flour,1.59,2 KG,https://www.aldi.ie/product/the-pantry-coarse-wholemeal-flour-2kg-000000000000382040,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/f3866958-f764-482e-a50a-c2b770178e79/Coarse%20Wholemeal%20Flour,kg,0.795
ALDI,Plain Flour,1.59,2 KG,https://www.aldi.ie/product/the-pantry-plain-flour-000000000000383864,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/2da0741d-a899-4f6b-8e89-989504ef7b5f/Plain%20Flour,kg,0.795
ALDI,Self Raising Flour,1.59,2 KG,https://www.aldi.ie/product/the-pantry-self-raising-flour-000000000000383865,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/4a012c37-612b-41ce-a7ef-db84adaa0dba/Self%20Raising%20Flour,kg,0.795
ALDI,Cornflour,1.19,0.5 KG,https://www.aldi.ie/product/the-pantry-cornflour-500g-000000000000385800,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/45594259-94d7-4482-b187-02e2857336e5/Cornflour,kg,2.38
ALDI,Plain Flour,0.89,1.5 KG,https://www.aldi.ie/product/everyday-essentials-plain-flour-000000000000472408,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/2e6c1fdc-758e-47ea-ab7e-2e632d2f2f0d/Plain%20Flour,kg,0.5933333333333334
ALDI,Self Raising Flour,0.89,1.5 KG,https://www.aldi.ie/product/everyday-essentials-self-raising-flour-000000000000472410,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/75f9cc35-05ca-4b2c-a6e1-8234b14e2c28/Self%20Raising%20Flour,kg,0.5933333333333334
ALDI,Mincemeat,3.49,0.822 KG,https://www.aldi.ie/product/perfect-christmas-mincemeat-000000000000336689,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d7a436b7-730d-4bb3-9499-2c325fba4485/Mincemeat,kg,4.245742092457421
ALDI,Salted Cashews,1.95,0.15 KG,https://www.aldi.ie/product/snackrite-roasted-and-salted-cashews-000000000000282667,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/73a2d119-2e9b-4828-8f53-81d487b99ff0/Salted%20Cashews,kg,13.0
ALDI,Salted Peanuts,1.45,0.4 KG,https://www.aldi.ie/product/snackrite-salted-peanuts-000000000000318022,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/157ca9ea-a161-4f6e-bdc0-e8163aad1872/Salted%20Peanuts,kg,3.6249999999999996
