name,category,lat,lon
Centra,convenience,53.3225555,-6.279115
The Secret Bar / The Bar With No Name,pub,53.3418854,-6.2641559
The Bald Barista,cafe,53.3404833,-6.2658862
The Lord Edward,pub,53.3431186,-6.2700507
Chez Max,restaurant,53.3376039,-6.2518051
Oil Can Harry's,pub,53.3383463,-6.2432199
Ulster Bank,atm,53.3530356,-6.4600219
McLoughlin’s,pub,53.2900598,-6.1306744
The Forty Foot,pub,53.2940117,-6.1337719
The Purty Kitchen,pub,53.2951939,-6.1481504
Shovelhead Pizza,fast_food,53.2950808,-6.1482889
East Wall Water Sports Centre,sports_centre,53.3598042,-6.2282531
Fresh,supermarket,53.4050235,-6.1786312
Hardy’s Bar & Bistro,pub,53.2919874,-6.1341504
Centra,convenience,53.3406933,-6.4322171
,atm,53.3117745,-6.2749859
Park Lane,restaurant,53.4029477,-6.157977
Centra,convenience,53.4029973,-6.1569486
Trinity Sports & Leisure Club & Bar,bar,53.4022449,-6.1613376
The Eagle House,pub,53.2870206,-6.1231501
Spar,convenience,53.2795117,-6.1349271
Bombay Pantry,fast_food,53.2794745,-6.1346085
Domino's,fast_food,53.2793365,-6.1351109
Point Cash,atm,53.2794907,-6.1350002
Greens Restaurant,restaurant,53.2792584,-6.1967769
Amber Grill,fast_food,53.3359987,-6.2982488
Spar,convenience,53.2584816,-6.1979944
Ulster Bank,atm,53.2592782,-6.1967326
Old Bank Café,cafe,53.3325667,-6.2528203
Voilà,cafe,53.3379145,-6.2520063
Bank of Ireland,atm,53.3403312,-6.2362283
Bank of Ireland,atm,53.3371155,-6.2338349
Gala,convenience,53.3409996,-6.2452191
,atm,53.3704189,-6.2065152
Firebyrd,restaurant,53.2896777,-6.1297939
Tesco,supermarket,53.2928036,-6.1392277
Lowza,cafe,53.2898497,-6.1306369
Milano,restaurant,53.2948188,-6.1352993
Bank of Ireland,atm,53.2939738,-6.1536622
Moco Cafe,restaurant,53.2939147,-6.1328699
The Laurels,pub,53.3079564,-6.3195456
The Pines,pub,53.3073383,-6.3188972
Birchall’s,pub,53.328038,-6.304945
Pinhead's Pizza,fast_food,53.3323276,-6.2746157
Vico's,fast_food,53.3323159,-6.2745379
EUROSPAR,convenience,53.3133201,-6.2466048
Ember,restaurant,53.3134996,-6.2465094
The Lotts,pub,53.3473835,-6.2633194
Centra,convenience,53.3506283,-6.2817777
Spar,convenience,53.3390557,-6.2722779
Chapter and Verse,convenience,53.3359339,-6.2570563
Bagel Factory,cafe,53.3360607,-6.2568011
Itsa,cafe,53.3386612,-6.2518181
Vacant Lot,pub,53.4202021,-6.3829428
Chef Garden,restaurant,53.4202277,-6.3822347
,bar,53.3420131,-6.2865015
1837,restaurant,53.3417171,-6.2864327
Gravity Bar,bar,53.3419024,-6.286488
AIB,atm,53.3284911,-6.228832
Insomnia,cafe,53.3475681,-6.2656699
Madegg,restaurant,53.347264,-6.2655313
Amir's Delights,cafe,53.3468444,-6.2652169
Han Sung Asian Market,supermarket,53.346876,-6.2650658
,cafe,53.344813,-6.2664581
Daybreak,convenience,53.3499784,-6.2743802
Brendan's Coffee Shop,cafe,53.3482366,-6.2717906
Delaney’s,pub,53.3498059,-6.2784995
Cinnamon Cafe,cafe,53.3468002,-6.2789385
Bank of Ireland,bank,53.346552,-6.2792464
China House,restaurant,53.3410835,-6.4517157
Centra,convenience,53.3419308,-6.4233959
,atm,53.3418251,-6.4234737
Bar Italia,restaurant,53.3464093,-6.2649768
Eden,restaurant,53.3449807,-6.2656383
Residence,restaurant,53.3383148,-6.2552471
The Sussex Restaurant,restaurant,53.3314212,-6.2516207
